Station_Name,Transport_Mode,Line,Latitude,Longitude,Additional_Info
ABDUL REHMAN SUFI GRD (ZULA MAIDAN),Bus,BEST,18.974356,72.826701,
GRANT ROAD STATION (W),Bus,BEST,18.964031,72.815913,
BHATIA HOSPITAL,Bus,BEST,18.965375,72.813605,
SANT GADGE MAHARAJ CHOWK (SAATRASTA),Bus,BEST,18.979732,72.827818,
SAIDHAM (GRANT ROAD),Bus,BEST,18.982116,72.814673,
"GOVERNMENT COLONY, INDIAN MEDICAL ASSOCIATION CHOWK",Bus,BEST,18.978701,72.815036,
DR.M.IQBAL CHOWK (J J HOSPITAL),Bus,BEST,18.962796,72.831781,
LALA LAJPATRAI COLLEGE,Bus,BEST,18.98217,72.814388,
BRADBURY MILL,Bus,BEST,18.977401,72.827136,
VATSALABAI DESAI CHOWK (HAJI ALI),Bus,BEST,18.978202,72.812036,
GRANT ROAD BRIDGE,Bus,BEST,18.96188,72.815697,
GRANT ROAD BRIDGE,Bus,BEST,18.961962,72.815915,
DONGRI JAIL,Bus,BEST,18.959104,72.836513,
WADALA FLY OVER BRIDGE,Bus,BEST,19.018798,72.860671,
ABHISHEK APARTMENTS,Bus,BEST,19.12135,72.826165,
ABHISHEK APARTMENTS,Bus,BEST,19.120799,72.826517,
ARYA SAMAJ MANDIR,Bus,BEST,19.079447,72.834466,
"VILE PARLE (W), ASHOKA HALL",Bus,BEST,19.099361,72.839544,
BALKANJI BARI SCHOOL,Bus,BEST,19.084758,72.832837,
CHANDAN CINEMA,Bus,BEST,19.114391,72.827003,
DR.COOPER HOSPITAL,Bus,BEST,19.107662,72.836782,
DR.COOPER HOSPITAL,Bus,BEST,19.10759,72.836925,
GAGANDEEP,Bus,BEST,19.113588,72.836873,
GOLDEN TOBACCO (VILE PARLE-W),Bus,BEST,19.104836,72.839569,
HARE RAM HARE KRISHNA (ISKCON),Bus,BEST,19.113097,72.826243,
ERLA,Bus,BEST,19.109263,72.840687,
J.V.P.D.BUS STATION,Bus,BEST,19.116169,72.831862,
JUHU BEACH,Bus,BEST,19.095736,72.828167,
JUHU SHOPPING CENTRE (JVPD),Bus,BEST,19.115611,72.834847,
VESAVA LINK ROAD,Bus,BEST,19.122948,72.824719,
J.V.P.D.BUS STATION,Bus,BEST,19.116402,72.82922,
SAHAKARI BHANDAR (JUHU),Bus,BEST,19.103593,72.83191,
NAWAB TANK MARG,Bus,BEST,18.965551,72.844959,
NAWAB TANK MARG,Bus,BEST,18.965533,72.845044,
DR.BHADKAMKAR ROAD,Bus,BEST,18.960264,72.817217,
DR.M.IQBAL CHOWK (J J HOSPITAL),Bus,BEST,18.962724,72.832104,
DR.M.IQBAL CHOWK (J J HOSPITAL),Bus,BEST,18.96276,72.831914,
GARLIC COMPANY,Bus,BEST,18.979118,72.828245,
GOL MANDIR (BHULESHWAR),Bus,BEST,18.958087,72.828832,
ALANKAR CINEMA,Bus,BEST,18.958047,72.824474,
NANA CHOWK,Bus,BEST,18.961925,72.8147,
VATSALABAI DESAI CHOWK (HAJI ALI),Bus,BEST,18.979901,72.812851,
VATSALABAI DESAI CHOWK (HAJI ALI),Bus,BEST,18.979811,72.812785,
"PRARTHANA SAMAJ, HARKISHANDAS HOSPITAL",Bus,BEST,18.958505,72.819745,
HYDERABAD ESTATE,Bus,BEST,18.956014,72.800852,
J.MEHTA MARG (NAPEAN SEA ROAD),Bus,BEST,18.951086,72.796223,
JOHAR CHOWK (BHENDI BAZAAR),Bus,BEST,18.958097,72.830883,
KASTURBA GANDHI CHOWK (C.P.TANK),Bus,BEST,18.954453,72.825986,
KHETWADI (GIRGAON),Bus,BEST,18.958046,72.822461,
