stop_id,stop_name,stop_lat,stop_lon
TMT_588,Forest Office,19.1889277,72.9646941
TMT_2210,Forest Office,19.1889,72.9647
TMT_2874,Forest Office,19.18901323333333,72.96445376666667
TMT_2210_2,Forest Office,19.188927,72.964704
TMT_951,Forest Office,19.1876309,72.9715071
TMT_921,Forest Office,19.191758,72.968743
TMT_2878,Forest Office,19.194387,72.964704
TMT_3096,Forest Office,19.2073055,72.9773889
TMT_1625,Teen Hath Naka,19.1879328,72.96289464
TMT_1487,Teen Hath Naka,19.1893686,72.9631833
TMT_1481,Teen Hath Naka,19.1876334,72.9640902
TMT_1628,Teen Hath Naka,19.1878841,72.9633706
TMT_1939,Teen Hath Naka,19.1875169,72.964159
TMT_4731,Teen Hath Naka,19.1892,72.9632
TMT_923,Johnson Company,19.1868275625,72.96124740625
TMT_1121_2,Johnson Company,19.1867,72.9612
TMT_2872,Johnson Company,19.186911600000002,72.96109283333334
TMT_3144,Johnson Company,19.186772,72.961395
TMT_3115,Johnson Company,19.1870441,72.9611764
TMT_949,Johnson Company,19.1889978,72.9676803
TMT_2879,Johnson Company,19.191758,72.968743
TMT_477,Kashish Park,19.185713171428574,72.95791918571429
TMT_948,Kashish Park,19.185939414285713,72.9581038142857
TMT_2871,Kashish Park,19.185791899999998,72.9579513
TMT_478,Mulund Check Naka,19.1854662875,72.956334825
TMT_2829,Mulund Check Naka,19.185622745454545,72.95641916363637
TMT_2360,Mulund Check Naka,19.1854508,72.9562471
TMT_2327,Mulund Check Naka,19.1858561,72.956746
TMT_2449,Mulund Check Naka,19.1829408,72.9535357
TMT_2444,Mulund Check Naka,19.183044,72.95373
TMT_2806,Mulund Check Naka,19.1845124,72.95432369999999
TMT_3090,Mulund Check Naka,19.1852321,72.9557944
TMT_3064,Mulund Check Naka,19.1856216,72.955557
TMT_3146,Mulund Check Naka,19.1842948,72.9543667
TMT_3113,Mulund Check Naka,19.1845331,72.9543166
TMT_3198,Mulund Check Naka,19.1842547,72.9543677
TMT_3163,Mulund Check Naka,19.1844966,72.9543267
TMT_2807,Automatic,19.18742588,72.95515751
TMT_1107,Automatic,19.187723300000002,72.9554066
TMT_2870,Automatic,19.1865765,72.9553097
TMT_891,Automatic,19.194387,72.9551549
TMT_946,Automatic,19.1914531,72.9674359
TMT_3005,Automatic,19.210409,73.015932
TMT_1092,Midc (Wagle Estate),19.191205391304347,72.95536395652174
TMT_899,Midc (Wagle Estate),19.191758,72.968743
TMT_3006,Midc (Wagle Estate),19.20895,73.013135
TMT_898,Road No.16,19.1935231875,72.953842725
TMT_2827,Road No.16,19.193636140000002,72.95391814
TMT_3007,Road No.16,19.206551,73.009953
TMT_482,Wagle Circle,19.1946608375,72.949780325
TMT_536,Wagle Circle,19.194772,72.949944
TMT_4476,Wagle Circle,19.1945171,72.949943
TMT_2880,Wagle Circle,19.194733,72.9497684
TMT_3085,Wagle Circle,19.1947719,72.9499085
TMT_3068,Wagle Circle,19.194387,72.9490992
BEST_37533,Wagle Circle,19.194593,72.949918
BEST_37532,Wagle Circle,19.194538,72.951135
TMT_3009,Wagle Circle,19.2056318,73.0084863
TMT_483,Bradma Company,19.1960623,72.95495120000001
TMT_2826,Bradma Company,19.19597956,72.95502986
TMT_2810,Bradma Company,19.1959836,72.95500937666667
TMT_2811,Ambika Nagar,19.197708499999997,72.95556466000001
TMT_942,Ambika Nagar,19.197811175000002,72.95559887499999
TMT_2825,Ambika Nagar,19.19795,72.95552
TMT_932,Agriculture,19.19998865,72.9539345
TMT_941,Agriculture,19.20012765,72.9540329
TMT_2823,Agriculture,19.187598,72.971727
TMT_486,Jai Bhavani Nagar,19.2025606,72.9536804
TMT_940,Jai Bhavani Nagar,19.20216705733333,72.953740771
TMT_2824,Jai Bhavani Nagar,19.20189,72.95383
TMT_487,Kamgar Hospital (Thane),19.2034304,72.95462326666667
TMT_939,Kamgar Hospital (Thane),19.2037358,72.95424093333332
TMT_4012,Kamgar Hospital (Thane),19.203568866666668,72.9550574
TMT_4036,Kamgar Hospital (Thane),19.203767499999998,72.95426355000001
TMT_2822,Kamgar Hospital (Thane),19.2037804,72.9542796
TMT_2813,Kamgar Hospital (Thane),19.2036784,72.9540167
TMT_2958,Kamgar Hospital (Thane),19.2037781,72.9542614
TMT_2970,Kamgar Hospital (Thane),19.191758,72.968743
TMT_3974,Kamgar Hospital (Thane),19.2182144,72.9818859
TMT_2814,Savarkar Nagar,19.20598115,72.954161625
TMT_4037,Savarkar Nagar,19.20600616666667,72.95426541666667
TMT_4011,Savarkar Nagar,19.20523335,72.95390714999999
TMT_3975,Savarkar Nagar,19.2073055,72.9773889
BEST_29373,Savarkar Nagar,19.24299,72.865216
BEST_29374,Savarkar Nagar,19.243054,72.865073
TMT_489,Yashodhan Nagar,19.208027700000002,72.95465725
TMT_937,Yashodhan Nagar,19.2079552,72.95482883333334
TMT_2820,Yashodhan Nagar,19.2079542,72.9548286
TMT_2972,Yashodhan Nagar,19.208019768,72.954667507
TMT_2956,Yashodhan Nagar,19.20795138,72.954831793
TMT_3078,Yashodhan Nagar,19.2083482,72.9544205
TMT_3075,Yashodhan Nagar,19.2083447,72.9546994
TMT_3283,Yashodhan Nagar,19.2075187,72.9546477
TMT_3222,Yashodhan Nagar,19.2078416,72.9546666
TMT_2815,Yashodhan Nagar,19.1929115,72.9701762
TMT_936,Lokmanya Nagar,19.20940305,72.9522662
TMT_2817,Lokmanya Nagar,19.2094021,72.9522733
TMT_3079,Lokmanya Nagar,19.2093977,72.9522729
TMT_3074,Lokmanya Nagar,19.2092421,72.952239
TMT_2818,Lokmanya Nagar,19.1942741,72.9516298
TMT_3976,Lokmanya Nagar,19.1872799,72.9771978
TMT_4007,Wagle Agar,19.20161,72.9459396
TMT_2853,Wagle Agar,19.20163105,72.94592374999999
TMT_3892,Wagle Agar,19.201613,72.94594
TMT_2852,Wagle Agar,19.20256,72.97884
TMT_3014,Wagle Agar,19.198784,72.995696
TMT_4008,Sathe Nagar,19.2008692,72.9489671
TMT_4038,Sathe Nagar,19.2007539,72.9492769
TMT_3890,Sathe Nagar,19.20075995,72.9492816
TMT_3894,Sathe Nagar,19.200850250000002,72.94899945
TMT_4009,Jost Colony,19.202382075000003,72.9493911
TMT_4013,Dnyaneshwar Nagar,19.201989933333333,72.9579688
TMT_4035,Dnyaneshwar Nagar,19.20199175,72.95744665000001
TMT_3973,Dnyaneshwar Nagar,19.2085323,72.9771066
BEST_02064,Dnyaneshwar Nagar,19.005406,72.854068
BEST_02063,Dnyaneshwar Nagar,19.005415,72.85385
BEST_02062,Dnyaneshwar Nagar,19.004927,72.853575
TMT_4014,Vaiti Wadi,19.201757739999998,72.95884004
TMT_4015,Ramchandra Nagar,19.20008543333333,72.96264486666666
TMT_4033,Ramchandra Nagar,19.20009935,72.96221575
TMT_3972,Ramchandra Nagar,19.2105705,72.9772887
TMT_4016,Nitin Company,19.1978926,72.96348582499999
TMT_4032,Nitin Company,19.198934666666663,72.96417626666666
TMT_4327,Nitin Company,19.198745588,72.9633818945
TMT_1343,Nitin Company,19.1989512,72.96301786
TMT_1335,Nitin Company,19.198936975000002,72.9633182
TMT_868,Nitin Company,19.1988806,72.9634322
TMT_875,Nitin Company,19.1989733,72.9629433
TMT_1630,Nitin Company,19.198980513,72.96321224644444
TMT_4017,Namdev Wadi,19.198264333333334,72.96682193333334
TMT_4031,Namdev Wadi,19.198290749999998,72.96637035
TMT_3971,Namdev Wadi,19.2143028,72.9780016
TMT_4018,TMC Office,19.1970906,72.96740795
TMT_4030,TMC Office,19.197126400000002,72.96729125
TMT_547,TMC Office,19.1970562,72.9675219
TMT_524,TMC Office,19.1971259,72.9672922
TMT_4019,Parmarth Niketan,19.1945044,72.9668217
TMT_523,Parmarth Niketan,19.194819594000002,72.966708299
TMT_877,Parmarth Niketan,19.1945064,72.9668213
TMT_3902,Parmarth Niketan,19.194506559,72.966819397
TMT_826,Parmarth Niketan,19.2337671,72.9461235
VVMT_638,Parmarth Niketan,19.45832729,72.81482208
TMT_4020,Pradeep Society/Panch Pakhadi,19.1935477,72.96738045000001
TMT_4799,Pradeep Society/Panch Pakhadi,19.1935024,72.9671542
TMT_551,Gaondevi Mandir,19.188269553016,72.97446876641823
TMT_2708,Gaondevi Mandir,19.2296,72.9801
TMT_4028,Aradhana Cinema,19.1926482625,72.96836125749999
TMT_3981,Aradhana Cinema,19.192547,72.968498
TMT_4029,Pradeep Society,19.1935003,72.967154
TMT_3880,Pradeep Society,19.19349844,72.967162232
TMT_3903,Pradeep Society,19.19354657,72.967382173
TMT_3980,Pradeep Society,19.193548,72.967381
TMT_3970,Pradeep Society,19.1935003,72.967154
TMT_4039,Lodha/Tata Motors,19.197801164,72.949107028
TMT_558,Siddhanchal Club House,19.2258343,72.9652769
TMT_609,Siddhanchal Club House,19.2258089,72.9650517
TMT_559,Jiddh School/Hdfc Bank,19.2231178,72.964383
TMT_608,Jiddh School/Hdfc Bank,19.2231862,72.9643859
TMT_560,Amrapali Arcade,19.2225772,72.9664862
TMT_607,Amrapali Arcade,19.2224206,72.9659543
TMT_3270,Amrapali Arcade,19.2225435,72.9668868
TMT_3235,Amrapali Arcade,19.222536,72.9668774
TMT_561,Panchavati Society,19.2221181,72.9664115
TMT_606,Panchavati Society,19.2221877,72.9663132
TMT_562,Asian Cable,19.219538,72.964837
TMT_605,Asian Cable,19.219847,72.9647981
TMT_4063,Asian Cable,19.2195329,72.9648316
TMT_4042,Asian Cable,19.2197938,72.9649309
TMT_3272,Asian Cable,19.21963833,72.96448667
TMT_3233,Asian Cable,19.2198566,72.964566
TMT_3273,Bethany Hospital,19.22032745,72.9616772
TMT_604,Bethany Hospital,19.22046435,72.9618385
TMT_4064,Bethany Hospital,19.2203773,72.9615306
TMT_3232,Bethany Hospital,19.2204127,72.961824
TMT_564,Laxminarayan Complex,19.2202179,72.9602156
TMT_602,Laxminarayan Complex,19.2202252,72.9601212
TMT_4076,Laxminarayan Complex,19.220318301,72.96017126
TMT_4078,Laxminarayan Complex,19.220246119,72.96035365
TMT_3274,Laxminarayan Complex,19.2194294,72.9599101
TMT_3231,Laxminarayan Complex,19.2194752,72.9598138
TMT_565,Cosmos,19.2166971,72.9587408
TMT_601,Cosmos,19.2167476,72.9586613
TMT_566,Devdaya Nagar,19.2150394,72.9583397
TMT_600,Devdaya Nagar,19.2148559,72.957865
TMT_653,Devdaya Nagar,19.2148419,72.95786435
TMT_656,Devdaya Nagar,19.2150477,72.95834595
TMT_701,Devdaya Nagar,19.2148265,72.9578383
TMT_674,Devdaya Nagar,19.215038,72.9583586
TMT_4074,Devdaya Nagar,19.2148003,72.95791905
TMT_4080,Devdaya Nagar,19.21501645,72.95827815
TMT_2978,Devdaya Nagar,19.2148302,72.9578573
TMT_2949,Devdaya Nagar,19.2150252,72.9583455
TMT_2950,Shastri Nagar,19.21357265,72.95932124999999
TMT_2977,Shastri Nagar,19.21345435,72.95900135
